open,high,low,close,tick_volume,spread,time,date
44305.7,44341.7,44257.2,44294.2,6171,480,2025-07-09 19:00:00,1752087600
44295.2,44400.6,44278.7,44364.2,6038,480,2025-07-09 20:00:00,1752091200
44362.7,44444.7,44361.2,44431.2,5470,480,2025-07-09 21:00:00,1752094800
44429.2,44473.9,44392.2,44448.8,5246,480,2025-07-09 22:00:00,1752098400
44447.8,44482.9,44426.2,44457.8,1355,480,2025-07-09 23:00:00,1752102000
44444.6,44494.8,44444.6,44474.8,623,520,2025-07-10 01:00:00,1752109200
44475.3,44479.3,44427.7,44431.3,804,520,2025-07-10 02:00:00,1752112800
44430.8,44430.8,44380.7,44385.2,1869,520,2025-07-10 03:00:00,1752116400
44386.2,44396.7,44355.2,44359.2,1695,520,2025-07-10 04:00:00,1752120000
44360.7,44400.8,44360.7,44386.3,951,520,2025-07-10 05:00:00,1752123600
44383.8,44383.8,44327.2,44338.8,784,520,2025-07-10 06:00:00,1752127200
44338.3,44342.3,44325.8,44334.8,715,520,2025-07-10 07:00:00,1752130800
44335.3,44354.8,44328.6,44354.8,956,520,2025-07-10 08:00:00,1752134400
44353.3,44361.4,44307.9,44314.4,1424,500,2025-07-10 09:00:00,1752138000
44316.4,44341.4,44296.9,44324.4,2240,500,2025-07-10 10:00:00,1752141600
44324.9,44371.9,44316.9,44348.9,1350,500,2025-07-10 11:00:00,1752145200
44349.4,44375.9,44334.9,44363.9,1261,500,2025-07-10 12:00:00,1752148800
44361.4,44390.9,44356.9,44387.9,1140,500,2025-07-10 13:00:00,1752152400
44385.4,44452.9,44382.4,44439.4,1639,500,2025-07-10 14:00:00,1752156000
44437.4,44439.4,44361.9,44380.9,2191,500,2025-07-10 15:00:00,1752159600
44380.4,44515.4,44353.9,44485.9,7069,480,2025-07-10 16:00:00,1752163200
44483.9,44658.0,44474.9,44654.0,8111,480,2025-07-10 17:00:00,1752166800
44653.5,44737.5,44653.0,44671.2,5675,480,2025-07-10 18:00:00,1752170400
44669.2,44723.7,44661.7,44694.2,4772,480,2025-07-10 19:00:00,1752174000
44695.2,44773.2,44690.2,44747.2,4095,480,2025-07-10 20:00:00,1752177600
44747.7,44776.2,44684.1,44703.1,3902,480,2025-07-10 21:00:00,1752181200
44701.1,44732.1,44617.0,44645.5,4930,480,2025-07-10 22:00:00,1752184800
44644.0,44644.0,44602.0,44604.0,1528,480,2025-07-10 23:00:00,1752188400
44628.9,44667.2,44621.4,44663.7,814,520,2025-07-11 01:00:00,1752195600
44664.2,44686.7,44650.7,44684.2,707,520,2025-07-11 02:00:00,1752199200
44683.7,44684.7,44381.5,44428.5,6680,520,2025-07-11 03:00:00,1752202800
44431.0,44477.5,44396.5,44455.6,2879,530,2025-07-11 04:00:00,1752206400
44455.1,44487.7,44450.1,44474.2,1464,520,2025-07-11 05:00:00,1752210000
44477.2,44521.2,44475.7,44515.7,1219,520,2025-07-11 06:00:00,1752213600
44516.7,44550.6,44488.1,44530.6,1313,520,2025-07-11 07:00:00,1752217200
44527.6,44542.2,44457.5,44457.5,1360,520,2025-07-11 08:00:00,1752220800
44459.2,44521.8,44457.2,44503.7,2303,500,2025-07-11 09:00:00,1752224400
44503.2,44514.7,44381.2,44382.7,4191,500,2025-07-11 10:00:00,1752228000
44384.2,44432.2,44376.7,44415.8,3459,500,2025-07-11 11:00:00,1752231600
44416.3,44431.8,44321.7,44331.2,2696,500,2025-07-11 12:00:00,1752235200
44330.7,44364.8,44290.2,44325.7,3156,500,2025-07-11 13:00:00,1752238800
44323.7,44423.8,44323.7,44390.8,2402,500,2025-07-11 14:00:00,1752242400
44388.3,44398.8,44348.7,44381.8,3074,500,2025-07-11 15:00:00,1752246000
44381.3,44431.9,44257.4,44377.4,7976,480,2025-07-11 16:00:00,1752249600
44378.4,44427.0,44347.5,44390.5,7997,480,2025-07-11 17:00:00,1752253200
44389.0,44392.5,44284.4,44306.0,7396,480,2025-07-11 18:00:00,1752256800
44305.5,44347.5,44256.9,44347.5,6209,480,2025-07-11 19:00:00,1752260400
44346.5,44384.0,44322.5,44379.5,5018,480,2025-07-11 20:00:00,1752264000
44378.5,44397.5,44317.0,44382.5,4851,480,2025-07-11 21:00:00,1752267600
44381.5,44399.5,44298.4,44343.4,6979,480,2025-07-11 22:00:00,1752271200
44342.4,44347.4,44294.9,44298.3,1909,480,2025-07-11 23:00:00,1752274800
44177.1,44219.3,44129.7,44210.9,1725,530,2025-07-14 01:00:00,1752454800
44210.4,44216.3,44147.8,44199.4,1901,530,2025-07-14 02:00:00,1752458400
44200.9,44220.3,44164.4,44165.9,2201,530,2025-07-14 03:00:00,1752462000
44165.4,44184.9,44140.4,44167.4,1592,520,2025-07-14 04:00:00,1752465600
44168.4,44186.4,44151.4,44154.4,927,520,2025-07-14 05:00:00,1752469200
44153.9,44172.4,44141.9,44168.4,802,520,2025-07-14 06:00:00,1752472800
44167.4,44178.9,44152.9,44167.4,608,520,2025-07-14 07:00:00,1752476400
44166.9,44193.4,44111.3,44120.3,980,520,2025-07-14 08:00:00,1752480000
44120.0,44145.5,44088.5,44129.5,2143,500,2025-07-14 09:00:00,1752483600
44127.0,44227.5,44089.5,44218.5,3447,500,2025-07-14 10:00:00,1752487200
44220.5,44220.5,44152.5,44204.0,2118,500,2025-07-14 11:00:00,1752490800
44204.5,44246.5,44192.0,44227.5,1266,500,2025-07-14 12:00:00,1752494400
44229.0,44246.5,44213.5,44241.0,1294,500,2025-07-14 13:00:00,1752498000
44241.5,44265.5,44217.5,44238.5,1916,500,2025-07-14 14:00:00,1752501600
44236.5,44254.5,44206.5,44218.0,1799,500,2025-07-14 15:00:00,1752505200
44217.5,44440.6,44200.5,44338.6,7360,480,2025-07-14 16:00:00,1752508800
44339.6,44397.6,44286.6,44348.6,9155,480,2025-07-14 17:00:00,1752512400
44349.1,44426.6,44294.6,44375.6,6805,480,2025-07-14 18:00:00,1752516000
44374.6,44417.1,44326.6,44383.6,5288,480,2025-07-14 19:00:00,1752519600
44384.6,44446.6,44383.6,44420.6,4030,480,2025-07-14 20:00:00,1752523200
44419.6,44461.6,44410.6,44435.6,3467,480,2025-07-14 21:00:00,1752526800
44436.1,44469.6,44403.6,44451.6,4505,480,2025-07-14 22:00:00,1752530400
44450.1,44459.6,44423.0,44437.0,940,480,2025-07-14 23:00:00,1752534000
44417.4,44422.0,44393.6,44398.6,911,520,2025-07-15 01:00:00,1752541200
44397.6,44426.5,44387.6,44417.6,641,520,2025-07-15 02:00:00,1752544800
44416.6,44435.5,44398.5,44410.1,1513,520,2025-07-15 03:00:00,1752548400
44410.6,44596.9,44392.1,44531.9,2814,520,2025-07-15 04:00:00,1752552000
44533.4,44546.9,44407.5,44423.0,3301,540,2025-07-15 05:00:00,1752555600
44422.5,44456.0,44400.5,44425.5,1351,520,2025-07-15 06:00:00,1752559200
44426.5,44472.5,44417.6,44466.4,959,520,2025-07-15 07:00:00,1752562800
44464.9,44511.4,44461.5,44493.0,1806,530,2025-07-15 08:00:00,1752566400
44493.5,44512.2,44464.7,44499.2,1594,500,2025-07-15 09:00:00,1752570000
44500.2,44504.6,44458.7,44464.7,2743,500,2025-07-15 10:00:00,1752573600
44464.2,44464.2,44372.1,44411.7,2134,500,2025-07-15 11:00:00,1752577200
